,projectAmount,initialObligationAmount,federalShareObligated,costSharePercentage,benefitCostRatio,netValueBenefits
0,145250,86250,108937.5,0.75,3.02,249170
7,8333,125000,125000,1,0,0
8,64000,48000,48000,0.75,0,0
9,443905,274316,332928.75,0.75,1.01,488367
10,297535.65,29830,297535.65,1,0,0
11,150001,71599.5,64099.5,0.43,0,0
15,70000,52500,52500,0.75,0,0
16,560421,108750,108750,0.75,11.69,6709572
17,2516648,1887486,1887486,0.75,6.32,16925207
18,375985,156073.88,137284.88,0.37,1.56,295216
20,7696,6156,5772,0.75,0,0
21,184111.93,3262500,138083.94,0.75,1.14,5391339
23,7056,5644,5292,0.75,0,0
24,201274,161019.5,150955.5,0.75,0,0
25,133333,106665.75,99999.75,0.75,0,0
26,346000,259500,259500,0.75,0,0
27,29497.65,26547.89,29497.65,1,28.61,1015823
28,199460,159430,149595,0.75,0,0
29,1815555,1361666.25,1361666.25,0.75,2.87,4572301
34,196632,186799.8,176968.8,0.9,0,0
35,9019510,883521.75,828321.75,0.75,1.05,9451363
38,275667,261883.65,248100.3,0.9,0,0
42,19347000,1593429.13,4000000,0.21,1.54,32298302
47,712861,52269,534645.75,0.75,2.26,1768138
48,802198,719113,802198,1,1.41,6735036
49,394258,283952,283952,0.72,1.38,661885
50,2900000,2175000,2175000,0.75,1.04,3544011
51,9290,8361,8361,0.9,1,9290
53,246000,184500,184500,0.75,1.75,424046
56,4040580,1828918.24,3030435,0.75,8.82,35626939
67,2470859.99,530299.75,489118.75,0.75,1,1
69,35287,27662,26465,0.75,0.97,40046
70,136950,108580,102713,0.75,5.19,710698
71,7530,15756,5610,0.75,0,0
72,156182,39618,114497,0.73,0,0
73,150264,77928,75132,0.5,7,1052236
74,30000,23868,22500,0.75,21.17,635159
75,9696,8118,7272,0.75,0,0
76,145753,86556,109313,0.75,0.86,97205
77,40000,31955,30000,0.75,1.58,99796
78,63557,78390,47669,0.75,1,100000
82,174458,130843.5,130843.5,0.75,1,1
88,728654.24,349705.25,499240.68,0.69,0,0
89,7831,6264.25,5873.25,0.75,1.7,13337
91,5943382,5448100.39,5349043.8,0.9,1.11,7363013
92,471645,424480.5,424480.5,0.9,1,471645
93,4059234,218813.54,200344.29,0.54,21.21,82818983
94,8175.3,7357.77,7357.77,0.9,0,0
95,303919,288723.05,273527.1,0.9,3.77,1328403
96,18087966,10219927,8134511,0.75,1.06,72529
98,600,470,450,0.75,0,0
99,190945,419578,143209,0.75,1.14,605546
100,192667,190899,144501,0.75,0,0
101,235861,340792,176896,0.75,2.67,629346
104,0,28589,0,0.75,2.38,85289
105,2149385,200051,1612039,0.75,1.45,3105618
106,1668812,780354,1251609,0.75,1.13,1886156
107,220000,176000,165000,0.75,0,0
109,9290,8361,8361,0.9,0,0
111,8175.3,7357.77,7357.77,0.9,1,1
112,2488666.16,2326553.69,2239799.54,0.9,2.6,6578765
115,458300,453717,453717,0.99,0,0
117,1322271,595021.95,1190043.9,0.9,0,0
126,318447.5,302525.12,286602.75,0.9,101.43,32300000
128,9829,14327.1,8846.1,0.9,0,0
129,10000000,1094689.05,1037074.05,0.9,3.94,39937711
130,32712,31076.4,29440.8,0.9,0,0
131,1575101,142500,135000,0.9,6.4,11012029
133,23979,22780.05,21581.1,0.9,0,0
135,168272.55,126000,126000,0.75,0,0
136,559356,447484.8,419517,0.75,0,0
141,13014,29072,11712,0.9,4.1,53327
143,263456,209203,197592,0.75,0,0
144,44300,33086,33225,0.75,1.1,48898
145,36100,47268,27075,0.75,10.71,386782
154,1746792,159062.68,195190.2,0.9,1.08,2023879
156,202296,191930,181816,0.9,0,0
158,0,819876,0,0.75,0,0
159,458671,349141,344003,0.75,1.02,556204
160,408086,1500099,408082,1,0,0
161,45681,39139,34261,0.75,1.53,77590
162,20347,15056,15056,0.74,0,0
164,4399913.48,3300000,3300000,0.75,1,1
165,1148000,796437.75,796437.75,0.69,5.49,6305825
170,9816353,7160064.57,7160064.57,0.73,1.88,18978924
171,0,91608,0,0.75,2.01,307970
172,86900,70190.55,65175,0.75,2.1,222036
173,878000,658500,658500,0.75,9.89,8682812
177,258128,132525,132525,0.51,3.23,704683
178,13481001,10109500,10109500,0.75,3.4,15857440
181,315009.19,398747.7,283508.26,0.9,1.19,525000
183,8314,6236,6236,0.75,0,0
184,24843,21000,18632,0.75,0,0
185,70336.38,67403,52752.29,0.75,4.46,401134
186,52000,39000,39000,0.75,0,0
187,45741,34306,34306,0.75,0,0
188,705073,66960,528804,0.75,2.96,2578251
189,243126,46493,243126,1,0,0
190,70536.38,67403,52902.29,0.75,4.46,401134
191,100437.24,110974,75327.93,0.75,7.62,1132220
197,500000,375000,375000,0.75,0,0
198,272244,204221,204183,0.75,1.6,446664
199,456079,456975,342059,0.75,0,0
202,2853098.97,182500,2853098.97,1,1.06,3043009
203,3114,140778,2336,0.75,1.47,276000
204,90002,68785,67502,0.75,1.25,114683
205,69250,51938,51938,0.75,2.02,164507
206,757242.27,841139,567931.7,0.75,1.66,761370
207,82578,58505,61934,0.75,1.68,138505
208,283300,212475,212475,0.75,1.24,356475
209,6368,5028,4776,0.75,0,0
212,448505,330920,330920,0.74,6.48,3159594
213,163551.5,122663.62,122663.62,0.75,2.21,361723
215,1923252,1743685.35,1743685.35,0.91,1,1925000
220,1333333.34,1000000,1000000,0.75,1,1
223,7680,6144,5760,0.75,1.83,13337
224,1061850,812850,796387.5,0.75,1.75,2127855
225,6640,5312,4980,0.75,2.14,13337
226,7680,6144,5760,0.75,1.83,13337
227,300790.66,344643,215155.06,0.72,0,0
228,0,4992,0,0.75,0,0
229,200000,150000,150000,0.75,0,0
232,115729,86796.75,0,0.75,0,0
233,6240,4992,4680,0.75,0,0
234,63630,47722.5,47722.5,0.75,1.66,148657
236,3104113.2,285000,322659.9,0.75,4.41,13696721
237,344397.23,129342.75,258297.94,0.75,0,0
239,219075,175260,164306.25,0.75,10465.8,2381952400
240,5500,5625,4125,0.75,0,0
241,28595.26,33750,21446.45,0.75,0,0
242,178356,301671,133767,0.75,1.33,534000
244,1492492,974241,1119369,0.75,1.66,3026343
246,1383766.66,1250000,1250000,0.9,1.44,2027462
248,117448,60816,88086,0.75,8.22,5814296
249,121821.6,366000,91366.2,0.75,1.31,637972
250,87752,81000,60000,0.68,0,0
251,511010,442996.12,383257.5,0.75,1.67,1006903
252,34000,25500,25500,0.75,0,0
253,709309.04,537657.75,531981.78,0.75,1,716877
254,285000,282926.25,213750,0.75,1.14,507232
256,1249039.28,278694,936779.46,0.75,1.24,1575095
257,852000,639000,639000,0.75,0.66,912093
260,539772,385222,372924.61,1,1.82,552000
263,164700,164700,143387,1,2.86,480265
264,74574,53625,55931,0.75,0,0
265,611134,587500,575020,0.94,1.97,1229956
266,38595.8,31500,28570.8,0.74,0,0
267,317367,317803,317367,1,0,0
270,420403.73,309704,272582.73,0.75,1.32,601635
273,3175808.79,2381856.59,2381856.59,0.75,12.65,43518690
274,711800,533850,533850,0.75,1.12,799825
275,1874406.89,1405805.17,1405805.17,0.75,4.46,8573876
276,3201820,2401365,2881638,0.9,4.4,14438663
280,126771,42792.3,114093.9,0.9,6.51,885504
281,1098943.73,110804,110804,1,0,0
283,8274,6546.6,7446.6,0.9,1,7274
286,16904715,13523772,12678536.25,0.75,1.14,18657538
287,16348.96,14958,12176.23,0.74,0,0
288,130283,97712.25,97712.25,0.75,1.15,150469
290,0,282913,0,0.75,1.5,1104000
291,80830,60622.5,60622.5,0.75,6.42,822476
302,6227.49,6375,4670.62,0.75,0,0
303,39239,28500,29429.25,0.75,0,0
304,58437,41460,42960,0.74,6.5,387559
305,183692,166425,137769,0.75,1.98,480770
306,762919.86,362774.25,565004.7,0.74,1,1
307,1306556,111867.75,111867.75,0.75,2.2,3277264
308,345803.04,195176.25,259352.29,0.75,1.37,557605
309,63801,51040.75,47850.75,0.75,0,0
310,5696326,991412.93,4272244.5,0.75,9.47,54754209
312,955.02,8099,955.02,1,0,0
313,578447.99,262350,433835.99,0.75,32.83,18992380
325,34475996.76,31028396.97,26101339.99,0.9,1.06,35211558
327,16608.72,26250,12456.54,0.75,0,0
328,195641.86,145095,146731.4,0.75,0,0
332,21081,15810.75,15810.75,0.75,0,0
334,130702.31,305960,98026.73,0.75,8.45,1104000
335,863000,647250,647250,0.75,4.49,3870502
336,112548,84410.64,84410.64,0.75,0,0
337,0,74637,0,0.75,0,0
338,0,4643.75,0,0.75,0,0
340,357000,49500,49500,0.75,2.41,892411
350,1333334,1000000,915540.62,0.75,9.18,9183180
351,1057136.85,951423.16,951423.16,0.9,2,2
355,470746.35,434861.25,353059.76,0.75,3.04,1491773
356,407000,305250,305250,0.75,1.94,890856
361,4881090,3660817.5,3660817.5,0.75,3.82,19617973
362,0,158335.5,0,0.75,1.97,640442
363,74536.99,59874.75,55902.74,0.75,1.76,185503
364,0,4683.25,0,0.75,2.28,13337
365,0,30000,0,0.75,0,0
367,639254.4,489775.8,479440.8,0.75,3.02,1932000
368,34785,20587.5,26088.75,0.75,4,169927
369,6656,5324,4992,0.75,0,0
370,6640,5312,4980,0.75,0,0
