,state,county,stateNumberCode,countyCode,disasterNumber,region,programArea,programFy
6,West Virginia,Brooke,54,9,4359,3,HMGP,2018
7,New Jersey,Middlesex,34,23,4368,2,HMGP,2018
8,Oregon,Klamath,41,35,4432,10,HMGP,2019
9,Florida,Flagler,12,35,4283,4,HMGP,2017
10,Iowa,Statewide,19,0,4386,7,HMGP,2018
11,Texas,Aransas,48,7,4332,6,HMGP,2017
12,Texas,Galveston,48,167,4332,6,HMGP,2017
13,South Dakota,Minnehaha,46,99,4440,8,HMGP,2019
14,Tennessee,Sumner,47,165,4427,4,HMGP,2019
15,Kentucky,Lewis,21,135,4358,4,HMGP,2018
16,Florida,Hendry,12,51,4341,4,HMGP,2017
17,California,Santa Barbara,6,83,5189,9,HMGP,2017
18,Texas,Aransas,48,7,4332,6,HMGP,2017
19,Texas,Galveston,48,167,4332,6,HMGP,2017
20,Alabama,Lee,1,81,4419,4,HMGP,2019
21,Florida,Flagler,12,35,4337,4,HMGP,2017
22,California,Ventura,6,111,4407,9,HMGP,2019
23,Alabama,Lee,1,81,4419,4,HMGP,2019
24,Alaska,Matanuska-Susitna,2,170,4413,10,HMGP,2019
25,Kentucky,Greenup,21,89,4428,4,HMGP,2019
26,South Dakota,Minnehaha,46,99,5418,8,HMGP,2022
27,Northern Mariana Islands,Saipan,69,110,4511,9,HMGP,2020
28,California,Nevada,6,57,4683,9,HMGP,2023
29,Missouri,St. Louis,29,189,4665,7,HMGP,2022
30,California,Santa Clara,6,85,4699,9,HMGP,2023
31,Puerto Rico,Aguas Buenas,72,7,4339,2,HMGP,2017
32,California,Ventura,6,111,4699,9,HMGP,2023
33,Florida,DeSoto,12,27,4673,4,HMGP,2022
34,Texas,Hays,48,209,4485,6,HMGP,2020
35,Florida,Volusia,12,127,4673,4,HMGP,2022
36,Florida,Broward,12,11,4673,4,HMGP,2022
37,Hawaii,Maui,15,9,5474,9,HMGP,2023
38,Texas,Freestone,48,161,4485,6,HMGP,2020
39,Vermont,Washington,50,23,4720,1,HMGP,2023
47,Texas,Willacy,48,489,4377,6,HMGP,2018
48,Northern Mariana Islands,NORTHERN MARIANA ISLAN,69,10,4404,9,HMGP,2019
51,Alabama,Randolph,1,111,4546,4,HMGP,2020
66,Florida,Volusia,12,127,4734,4,HMGP,2023
67,Illinois,Iroquois,17,75,4461,5,HMGP,2019
68,South Dakota,Tripp,46,123,4687,8,HMGP,2023
69,New York,Wyoming,36,121,1296,2,HMGP,1999
70,Tennessee,Franklin,47,51,1260,4,HMGP,1999
71,North Carolina,Iredell,37,97,1312,4,HMGP,2000
72,Kentucky,Statewide,21,0,1407,4,HMGP,2002
73,Georgia,Chatham,13,51,1315,4,HMGP,2000
74,Georgia,Chatham,13,51,1315,4,HMGP,2000
75,Kentucky,Statewide,21,0,1388,4,HMGP,2001
76,Wisconsin,Forest,55,41,1332,5,HMGP,2000
77,Minnesota,Cook,27,31,1283,5,HMGP,1999
78,Arkansas,Cleburne,5,23,1354,6,HMGP,2001
88,Texas,Galveston,48,167,4332,6,HMGP,2017
89,Alabama,Lee,1,81,4419,4,HMGP,2019
90,Florida,Broward,12,11,4564,4,HMGP,2020
91,Florida,Broward,12,11,4486,4,HMGP,2020
92,Texas,Jefferson,48,245,4572,6,HMGP,2021
93,Louisiana,Acadia,22,1,4570,6,HMGP,2021
94,Alabama,Bibb,1,7,4596,4,HMGP,2021
95,Texas,Washington,48,477,4586,6,HMGP,2021
96,Louisiana,Terrebonne,22,109,1437,6,HMGP,2003
97,Louisiana,Rapides,22,79,1437,6,HMGP,2003
98,Oklahoma,Custer,40,39,1401,6,HMGP,2002
99,Virginia,Waynesboro (city),51,820,1458,3,HMGP,2003
100,Iowa,Statewide,19,0,1282,7,HMGP,1999
101,Texas,Karnes,48,255,1434,6,HMGP,2002
102,California,San Luis Obispo,6,79,1505,9,HMGP,2004
103,Florida,Flagler,12,35,1545,4,HMGP,2004
104,Florida,Franklin,12,37,1595,4,HMGP,2005
105,Florida,Broward,12,11,1545,4,HMGP,2004
106,North Carolina,Pamlico,37,137,4465,4,HMGP,2020
107,Texas,Jefferson,48,245,4466,6,HMGP,2020
108,Florida,Flagler,12,35,4564,4,HMGP,2020
109,Alabama,Randolph,1,111,4546,4,HMGP,2020
110,Texas,Galveston,48,167,4586,6,HMGP,2021
111,Alabama,Bibb,1,7,4596,4,HMGP,2021
112,New Mexico,Sandoval,35,43,4529,6,HMGP,2020
113,Louisiana,Avoyelles,22,9,4570,6,HMGP,2021
114,California,Nevada,6,57,4482,9,HMGP,2020
115,Illinois,Bureau,17,11,4489,5,HMGP,2020
116,California,Santa Clara,6,85,4482,9,HMGP,2020
117,Ohio,Wyandot,39,175,4507,5,HMGP,2020
118,Texas,Jefferson,48,245,4485,6,HMGP,2020
126,Maryland,Calvert,24,9,4491,3,HMGP,2020
127,Iowa,Jones,19,105,4483,7,HMGP,2020
128,Iowa,Jones,19,105,4483,7,HMGP,2020
129,California,Siskiyou,6,93,4482,9,HMGP,2020
130,Georgia,Jeff Davis,13,161,4501,4,HMGP,2020
131,Florida,Broward,12,11,4486,4,HMGP,2020
132,Nevada,Carson City,32,510,4523,9,HMGP,2020
133,Georgia,Clay,13,61,4501,4,HMGP,2020
134,Texas,Galveston,48,167,4485,6,HMGP,2020
135,New Mexico,Bernalillo,35,1,5430,6,HMGP,2022
136,South Dakota,Minnehaha,46,99,4656,8,HMGP,2022
137,Idaho,Bonner,16,17,5449,10,HMGP,2022
138,Idaho,Valley,16,85,5449,10,HMGP,2022
139,Louisiana,Terrebonne,22,109,4611,6,HMGP,2021
140,New Jersey,Middlesex,34,23,4086,2,HMGP,2013
141,Northern Mariana Islands,Saipan,69,110,1541,9,HMGP,2004
142,Texas,Jefferson,48,245,1624,6,HMGP,2006
143,Alabama,Jackson,1,71,1605,4,HMGP,2005
144,Florida,Franklin,12,37,1551,4,HMGP,2004
145,Florida,Broward,12,11,1602,4,HMGP,2005
154,Florida,Clay,12,19,4486,4,HMGP,2020
155,Texas,Chambers,48,71,4485,6,HMGP,2020
156,Kentucky,Fayette,21,67,4630,4,HMGP,2022
157,Idaho,Bonner,16,17,5449,10,HMGP,2022
158,Washington,Skagit,53,57,1734,10,HMGP,2008
159,Iowa,Wayne,19,185,1763,7,HMGP,2008
160,Arkansas,Statewide,5,0,1819,6,HMGP,2009
161,Texas,Jefferson,48,245,1780,6,HMGP,2008
162,South Dakota,Brookings,46,11,1887,8,HMGP,2010
170,Florida,Broward,12,11,4337,4,HMGP,2017
171,Florida,Hardee,12,49,4337,4,HMGP,2017
183,Virginia,Waynesboro (city),51,820,1862,3,HMGP,2010
184,Georgia,Ware,13,299,1858,4,HMGP,2009
185,Alabama,Chilton,1,21,1971,4,HMGP,2011
186,Kentucky,Fayette,21,67,1925,4,HMGP,2010
187,Kentucky,Hardin,21,93,1818,4,HMGP,2009
188,Iowa,Black Hawk,19,13,1930,7,HMGP,2010
189,Massachusetts,Statewide,25,0,1994,1,HMGP,2011
190,Alabama,Chilton,1,21,1971,4,HMGP,2011
191,Alabama,Lawrence,1,79,1971,4,HMGP,2011
192,Louisiana,Terrebonne,22,109,4484,6,HMGP,2020
193,Louisiana,Terrebonne,22,109,4611,6,HMGP,2021
194,Louisiana,Rapides,22,79,4611,6,HMGP,2021
