,numberOfFinalProperties,numberOfProperties,status,dateApproved,dateClosed,dateInitiallyApproved
0,1,1,Closed,2006-03-28T00:00:00.000Z,2010-04-14T00:00:00.000Z,2006-04-05T00:00:00.000Z
1,0,0,Closed,2019-09-25T00:00:00.000Z,2024-03-18T00:00:00.000Z,2019-09-30T00:00:00.000Z
9,0,0,Closed,2021-03-03T00:00:00.000Z,2021-03-03T00:00:00.000Z,2017-11-13T00:00:00.000Z
10,0,0,Closed,2023-06-30T00:00:00.000Z,2023-06-29T00:00:00.000Z,2018-11-08T00:00:00.000Z
20,1,1,Closed,2021-03-16T00:00:00.000Z,2021-07-27T00:00:00.000Z,2020-07-01T00:00:00.000Z
21,1,1,Closed,2025-02-13T00:00:00.000Z,2025-02-13T00:00:00.000Z,2020-01-30T00:00:00.000Z
23,1,1,Closed,2020-11-02T00:00:00.000Z,2021-08-06T00:00:00.000Z,2020-11-02T00:00:00.000Z
42,1,1,Closed,2020-02-24T00:00:00.000Z,2024-01-09T00:00:00.000Z,2020-02-24T00:00:00.000Z
43,0,0,Closed,2011-08-22T00:00:00.000Z,2017-05-31T00:00:00.000Z,2011-09-22T00:00:00.000Z
44,0,0,Closed,2017-08-10T00:00:00.000Z,2020-11-04T00:00:00.000Z,2017-08-24T00:00:00.000Z
46,0,0,Closed,2016-02-24T00:00:00.000Z,2018-05-07T00:00:00.000Z,2016-02-26T00:00:00.000Z
52,0,0,Closed,2007-03-09T00:00:00.000Z,2012-03-14T00:00:00.000Z,2007-03-12T00:00:00.000Z
55,0,0,Closed,2004-03-23T00:00:00.000Z,2007-06-15T00:00:00.000Z,2004-04-15T00:00:00.000Z
58,0,0,Closed,2016-07-22T00:00:00.000Z,2020-03-31T00:00:00.000Z,2016-09-02T00:00:00.000Z
60,0,0,Closed,2007-08-27T00:00:00.000Z,2011-11-10T00:00:00.000Z,2007-09-06T00:00:00.000Z
69,0,0,Closed,2006-10-11T00:00:00.000Z,2006-06-20T00:00:00.000Z,2001-04-02T00:00:00.000Z
70,0,0,Closed,2006-03-10T00:00:00.000Z,2006-04-03T00:00:00.000Z,2002-03-12T00:00:00.000Z
71,0,0,Closed,2007-08-24T00:00:00.000Z,2007-09-11T00:00:00.000Z,2004-05-25T00:00:00.000Z
72,0,0,Closed,2012-03-07T00:00:00.000Z,2012-03-28T00:00:00.000Z,2003-09-15T00:00:00.000Z
73,1,1,Closed,2009-06-25T00:00:00.000Z,2003-04-02T00:00:00.000Z,2001-11-26T00:00:00.000Z
74,1,1,Closed,2009-06-25T00:00:00.000Z,2003-09-23T00:00:00.000Z,2002-08-26T00:00:00.000Z
75,0,0,Closed,2005-07-27T00:00:00.000Z,2005-08-09T00:00:00.000Z,2002-07-23T00:00:00.000Z
76,0,0,Closed,2007-03-27T00:00:00.000Z,2007-03-27T00:00:00.000Z,2002-08-21T00:00:00.000Z
77,0,0,Closed,2006-09-13T00:00:00.000Z,2006-09-12T00:00:00.000Z,2000-04-05T00:00:00.000Z
78,1,1,Closed,2007-05-14T00:00:00.000Z,2007-05-14T00:00:00.000Z,2002-10-23T00:00:00.000Z
79,0,0,Closed,2008-07-08T00:00:00.000Z,2010-11-09T00:00:00.000Z,2008-07-18T00:00:00.000Z
81,0,0,Closed,2010-08-16T00:00:00.000Z,2014-10-07T00:00:00.000Z,2010-09-17T00:00:00.000Z
83,0,0,Closed,2012-08-29T00:00:00.000Z,2017-08-11T00:00:00.000Z,2012-08-31T00:00:00.000Z
84,0,0,Closed,2014-10-20T00:00:00.000Z,2020-04-28T00:00:00.000Z,2014-11-06T00:00:00.000Z
89,1,1,Closed,2022-02-01T00:00:00.000Z,2022-02-14T00:00:00.000Z,2020-07-06T00:00:00.000Z
96,1,1,Closed,2004-07-08T00:00:00.000Z,2015-09-01T00:00:00.000Z,2004-06-18T00:00:00.000Z
98,0,0,Closed,2007-10-16T00:00:00.000Z,2007-10-16T00:00:00.000Z,2004-03-08T00:00:00.000Z
99,1,7,Closed,2007-04-20T00:00:00.000Z,2007-04-20T00:00:00.000Z,2005-03-29T00:00:00.000Z
100,0,0,Closed,2005-10-20T00:00:00.000Z,2005-10-20T00:00:00.000Z,2001-03-20T00:00:00.000Z
101,7,11,Closed,2008-11-17T00:00:00.000Z,2007-07-20T00:00:00.000Z,2004-03-09T00:00:00.000Z
105,0,0,Closed,2009-06-15T00:00:00.000Z,2011-10-14T00:00:00.000Z,2007-02-21T00:00:00.000Z
119,0,0,Closed,2008-07-08T00:00:00.000Z,2010-11-04T00:00:00.000Z,2008-07-18T00:00:00.000Z
121,0,0,Closed,2019-02-06T00:00:00.000Z,2024-05-30T00:00:00.000Z,2019-02-06T00:00:00.000Z
123,0,0,Closed,2010-08-17T00:00:00.000Z,2010-09-17T00:00:00.000Z,2010-09-17T00:00:00.000Z
128,0,0,Closed,2023-11-16T00:00:00.000Z,2023-11-16T00:00:00.000Z,2022-10-20T00:00:00.000Z
