state,FederalFunding,benefitCostRatio,ProjectTimeline(in months),ZoneRiskLevel,ZoneRiskLevelNumeric,RiskScore,InsuranceZone
Arkansas,3.532122409163981e-05,0.0,0.5113924050632911,Moderate,0.5,0.4272926095022949,Low
New Hampshire,0.00016011750777462184,7.825516412887185e-07,0.49367088607594933,Moderate,0.5,319467.90833430673,High
Kansas,3.7569671275763984e-05,0.0,0.46329113924050636,High,0.8,0.4626732557166116,Low
Hawaii,5.162022668731281e-05,0.0,0.5063291139240507,Low,0.2,0.38128647087548506,Low
West Virginia,0.0003935558928482728,4.1951222007230277e-07,0.5012658227848101,Moderate,0.5,595930.3725259715,High
Louisiana,9.704453317932995e-05,0.0,0.5215189873417722,High,0.8,0.4743426152816262,Moderate
Florida,0.006899665994203949,5.001876470092841e-07,0.6025316455696202,High,0.8,499812.6666532923,High
Minnesota,3.0371952899493986e-05,0.0,0.4860759493670886,Moderate,0.5,0.4222273386545775,Low
Oklahoma,0.00024283976084950082,3.085835080339535e-06,0.5037974683544304,High,0.8,81015.56791545311,Moderate
Washington,0.0008178121970160312,4.477486195002462e-07,0.5594936708860759,High,0.8,558349.2457393726,High
Arkansas,0.0,4.840525616218878e-07,0.47848101265822784,Moderate,0.5,516473.0081962026,High
Florida,0.0018621352924295274,4.6791747623449146e-07,0.5012658227848101,High,0.8,534282.4666876739,High
Nebraska,0.00011101148099306275,0.0,0.5265822784810127,High,0.8,0.4753608602885998,Moderate
Florida,6.152623403569518e-06,1.9725141886091924e-06,0.47848101265822784,High,0.8,126742.01631216054,Moderate
Montana,6.3686146745703445e-06,0.0,0.5189873417721519,Low,0.2,0.3838000158003002,Low
Nebraska,0.00015400370218432406,0.0,0.44556962025316454,High,0.8,0.45917552553150665,Low
Florida,0.0011131879415577095,1.7425892218387962e-06,0.5443037974683544,High,0.8,143464.906389368,Moderate
Florida,7.993241683503961e-05,0.0,0.0,High,0.8,0.370031972966734,Low
Arkansas,0.0006411597937804697,4.033771346849065e-07,0.5063291139240507,Moderate,0.5,619767.5815222866,High
New Jersey,0.00014885287696172884,1.3472796298475877e-06,0.5670886075949367,High,0.8,185559.33677067584,Moderate
Louisiana,0.0,4.96153875662435e-07,0.3949367088607595,High,0.8,503876.138011732,High
New Jersey,0.00021212441960183383,5.687617599057181e-07,0.5468354430379747,High,0.8,439551.5805157682,High
Tennessee,4.6609742789623104e-05,0.0,0.5139240506329114,Moderate,0.5,0.4278034540236982,Low
Oklahoma,1.1197446136076532e-05,0.0,0.5848101265822785,High,0.8,0.4869665042949101,Moderate
Montana,0.00011852272786114287,3.5618200992677243e-06,0.5443037974683544,Low,0.2,70188.9729965038,Moderate
Colorado,0.0003516684863424377,2.178236527298495e-05,0.4962025316455696,Moderate,0.5,11477.348547840393,Moderate
Oklahoma,2.9859856362870752e-05,0.0,0.5645569620253165,High,0.8,0.4829233363476085,Moderate
Iowa,3.560787871272337e-05,0.0,0.4481012658227848,High,0.8,0.45963449631604203,Low
California,0.00018594126707263607,0.0,0.4810126582278481,High,0.8,0.4662769081523987,Low
