state,FederalFunding,benefitCostRatio,ProjectTimeline(in months),ZoneRiskLevel
Florida,108937.5,3.02,49.0,High
Florida,332928.75,1.01,40.0,High
Iowa,297535.65,0.0,56.0,High
Alabama,5772.0,0.0,13.0,High
Florida,138083.94,1.14,61.0,High
Alabama,5292.0,0.0,9.0,High
Utah,4000000.0,1.54,47.0,Low
New York,26465.0,0.97,64.0,High
Tennessee,102713.0,5.19,49.0,Moderate
North Carolina,5610.0,0.0,40.0,High
Kentucky,114497.0,0.0,104.0,High
Georgia,75132.0,7.0,16.0,High
Georgia,22500.0,21.17,13.0,High
Kentucky,7272.0,0.0,37.0,High
Wisconsin,109313.0,0.86,56.0,Moderate
Minnesota,30000.0,1.58,78.0,Moderate
Arkansas,47669.0,1.0,55.0,Moderate
Alabama,5873.25,1.7,20.0,High
Louisiana,8134511.0,1.06,136.0,High
Oklahoma,450.0,0.0,44.0,High
Virginia,143209.0,1.14,25.0,Moderate
Iowa,144501.0,0.0,56.0,High
Texas,176896.0,2.67,41.0,High
Florida,1612039.0,1.45,57.0,High
Iowa,8846.1,0.0,13.0,High
Northern Mariana Islands,11712.0,4.1,75.0,Low
Alabama,197592.0,0.0,72.0,High
Florida,33225.0,1.1,54.0,High
Florida,27075.0,10.71,23.0,High
Washington,0.0,0.0,60.0,High
Iowa,344003.0,1.02,38.0,High
Arkansas,408082.0,0.0,87.0,Moderate
Texas,34261.0,1.53,85.0,High
South Dakota,15056.0,0.0,22.0,High
Texas,796437.75,5.49,36.0,High
Wisconsin,65175.0,2.1,40.0,Moderate
Texas,658500.0,9.89,36.0,High
Massachusetts,132525.0,3.23,44.0,Moderate
North Carolina,283508.26,1.19,60.0,High
Virginia,6236.0,0.0,18.0,Moderate
Georgia,18632.0,0.0,45.0,High
Alabama,52752.29,4.46,124.0,High
Kentucky,39000.0,0.0,78.0,High
Kentucky,34306.0,0.0,16.0,High
Iowa,528804.0,2.96,32.0,High
Massachusetts,243126.0,0.0,89.0,Moderate
Alabama,52902.29,4.46,124.0,High
Alabama,75327.93,7.62,116.0,High
