state,FederalFunding,benefitCostRatio,ProjectTimeline(in months),ZoneRiskLevel
Arkansas,23658.0,0.0,46.0,Moderate
New Hampshire,107246.0,1.94,39.0,Moderate
Kansas,25164.0,0.0,27.0,High
Hawaii,34575.0,0.0,44.0,Low
West Virginia,263602.0,1.04,42.0,Moderate
Louisiana,65000.0,0.0,50.0,High
Florida,4621365.83,1.24,82.0,High
Minnesota,20343.0,0.0,36.0,Moderate
Oklahoma,162653.0,7.65,43.0,High
Washington,547767.0,1.11,65.0,High
Arkansas,0.0,1.2,33.0,Moderate
Florida,1247250.0,1.16,42.0,High
Nebraska,74355.0,0.0,52.0,High
Florida,4121.0,4.89,33.0,High
Montana,4265.67,0.0,49.0,Low
Nebraska,103151.0,0.0,20.0,High
Florida,745608.37,4.32,59.0,High
Florida,53538.38,0.0,-156.0,High
Arkansas,429446.0,1.0,44.0,Moderate
New Jersey,99701.0,3.34,68.0,High
Louisiana,0.0,1.23,0.0,High
New Jersey,142080.0,1.41,60.0,High
Tennessee,31219.0,0.0,47.0,Moderate
Oklahoma,7500.0,0.0,75.0,High
Montana,79386.0,8.83,59.0,Low
Colorado,235546.0,54.0,40.0,Moderate
Oklahoma,20000.0,0.0,67.0,High
Iowa,23850.0,0.0,21.0,High
California,124542.64,0.0,34.0,High
Maryland,279075.0,1.0,0.0,Moderate
Texas,2282567.0,1.0,39.0,High
Mississippi,28773.0,0.0,19.0,High
Oklahoma,88906.0,0.0,83.0,High
Mississippi,78019.0,0.0,68.0,High
Florida,585065.0,1.76,46.0,High
Missouri,3134013.0,3.42,34.0,High
Oklahoma,204524.0,3.79,68.0,High
West Virginia,207377.0,1.05,0.0,Moderate
Alabama,65208.29,8.2,111.0,High
Texas,84000.0,0.0,43.0,High
North Dakota,1026025.0,1.31,56.0,High
Virgin Islands of the U.S.,2758927.51,11.77,60.0,Low
Florida,159977.0,1.37,50.0,High
Puerto Rico,30614.0,15.31,25.0,Moderate
Washington,215433.0,0.0,119.0,High
Texas,1857653.87,1.35,85.0,High
Florida,0.0,2.64,3.0,High
Florida,253860.0,4.34,51.0,High
California,29810.04,0.0,35.0,High
Arkansas,45000.0,0.0,71.0,Moderate
New Jersey,0.0,1.0,36.0,High
New Jersey,162176.8,2.9,103.0,High
Maine,82814.0,1.34,22.0,Low
Massachusetts,183675.0,1.47,42.0,Moderate
Alaska,22032.0,0.0,42.0,Low
Texas,2465486.0,1.25,68.0,High
Mississippi,31953.0,0.0,27.0,High
Massachusetts,14570.0,0.0,77.0,Moderate
Minnesota,135000.0,5.6,65.0,Moderate
New Jersey,75000.0,0.0,116.0,High
Oklahoma,1313816.0,1.29,42.0,High
Florida,153278.9,1.65,46.0,High
Nebraska,47456.0,0.0,5.0,High
Oklahoma,11988.0,0.0,25.0,High
Iowa,1041907.0,0.0,28.0,High
Pennsylvania,275300.0,1.0,0.0,High
Puerto Rico,86511.0,7.77,48.0,Moderate
Virginia,82500.0,0.0,77.0,Moderate
Oklahoma,734477.0,2.29,59.0,High
Kansas,13706.0,0.0,28.0,High
Georgia,13015.0,0.0,44.0,High
California,70000.0,0.0,37.0,High
Montana,211606.0,11.75,44.0,Low
Alabama,42750.0,1.3,48.0,High
Nebraska,225000.0,0.0,71.0,High
Kentucky,1291057.68,3.02,129.0,High
Mississippi,877790.1,0.0,99.0,High
Virginia,1290.0,0.0,15.0,Moderate
Mississippi,23822.0,0.0,31.0,High
Ohio,1541150.0,1.38,47.0,Moderate
New Jersey,814000.0,0.0,48.0,High
Kentucky,1156453.1,5.83,94.0,High
Mississippi,875145.0,2.37,58.0,High
Florida,129615.0,7.8,24.0,High
District of Columbia,21778.0,0.0,51.0,Low
Kansas,101250.0,1.09,14.0,High
Pennsylvania,70139.7,4.81,117.0,High
New Mexico,29655.66,0.0,64.0,Low
New Jersey,274120.63,2.07,79.0,High
Ohio,91182.8,1.03,30.0,Moderate
Federated States of Micronesia,175642.0,5.47,121.0,Low
Connecticut,100000.0,7.32,17.0,Moderate
Virgin Islands of the U.S.,104605.0,2.09,31.0,Low
Louisiana,96773.0,1.44,21.0,High
Florida,703232.0,1.63,44.0,High
Ohio,20995.0,0.0,23.0,Moderate
California,100001.0,0.0,38.0,High
New York,142181.6,3.38,40.0,High
